ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,report_date
MKTX,MarketAxess Holdings Inc.,2008-02-06T00:00:00.000Z,TNS,0.06,0.06,5.88,EDT,0,EQUITY,2008-02-06
MKTX,MarketAxess Holdings Inc.,2008-05-07T00:00:00.000Z,TNS,0.05,0.05,7.14,EDT,0,EQUITY,2008-05-07
MKTX,MarketAxess Holdings Inc.,2008-07-30T00:00:00.000Z,TNS,0.07,0.08,23.08,EDT,0,EQUITY,2008-07-30
MKTX,MarketAxess Holdings Inc.,2008-10-29T00:00:00.000Z,TNS,0.04,0.04,0.0,EDT,0,EQUITY,2008-10-29
MKTX,MarketAxess Holdings Inc.,2009-02-04T00:00:00.000Z,TNS,0.04,0.05,25.0,EDT,0,EQUITY,2009-02-04
MKTX,MarketAxess Holdings Inc.,2009-04-29T00:00:00.000Z,TNS,0.07,0.08,19.99,EDT,0,EQUITY,2009-04-29
MKTX,MarketAxess Holdings Inc.,2009-07-28T00:00:00.000Z,TNS,0.08,0.08,0.0,EDT,0,EQUITY,2009-07-28
MKTX,MarketAxess Holdings Inc.,2009-10-28T00:00:00.000Z,TNS,0.09,0.12,28.58,EDT,0,EQUITY,2009-10-28
MKTX,MarketAxess Holdings Inc.,2010-02-03T00:00:00.000Z,TNS,0.14,0.17,21.43,EDT,0,EQUITY,2010-02-03
MKTX,MarketAxess Holdings Inc.,2010-04-28T00:00:00.000Z,TNS,0.17,0.17,-1.92,EDT,0,EQUITY,2010-04-28
MKTX,MarketAxess Holdings Inc.,2010-07-28T00:00:00.000Z,TNS,0.17,0.18,5.88,EDT,0,EQUITY,2010-07-28
MKTX,MarketAxess Holdings Inc.,2010-10-27T00:00:00.000Z,TNS,0.18,0.22,22.22,EDT,0,EQUITY,2010-10-27
MKTX,MarketAxess Holdings Inc.,2011-02-02T00:00:00.000Z,TNS,0.2,0.23,16.16,EDT,0,EQUITY,2011-02-02
MKTX,MarketAxess Holdings Inc.,2011-04-27T00:00:00.000Z,TNS,0.27,0.27,-0.74,EDT,0,EQUITY,2011-04-27
MKTX,MarketAxess Holdings Inc.,2011-07-27T00:00:00.000Z,TNS,0.26,0.3,17.19,EDT,0,EQUITY,2011-07-27
MKTX,MarketAxess Holdings Inc.,2011-10-26T00:00:00.000Z,TNS,0.28,0.34,20.57,EDT,0,EQUITY,2011-10-26
MKTX,MarketAxess Holdings Inc.,2012-02-01T00:00:00.000Z,TNS,0.29,0.31,6.16,EDT,0,EQUITY,2012-02-01
MKTX,MarketAxess Holdings Inc.,2012-04-25T00:00:00.000Z,TNS,0.37,0.35,-4.89,EDT,0,EQUITY,2012-04-25
MKTX,MarketAxess Holdings Inc.,2012-07-25T00:00:00.000Z,TNS,0.32,0.34,5.59,EDT,0,EQUITY,2012-07-25
MKTX,MarketAxess Holdings Inc.,2012-11-02T00:00:00.000Z,TNS,0.32,0.37,15.02,EDT,0,EQUITY,2012-11-02
MKTX,MarketAxess Holdings Inc.,2013-01-30T00:00:00.000Z,TNS,0.36,0.36,1.41,EDT,0,EQUITY,2013-01-30
MKTX,MarketAxess Holdings Inc.,2013-04-24T00:00:00.000Z,TNS,0.37,0.41,10.81,EDT,0,EQUITY,2013-04-24
MKTX,MarketAxess Holdings Inc.,2013-07-24T00:00:00.000Z,TNS,0.45,0.51,12.17,EDT,0,EQUITY,2013-07-24
MKTX,MarketAxess Holdings Inc.,2013-10-23T00:00:00.000Z,TNS,0.43,0.48,12.41,EDT,0,EQUITY,2013-10-23
MKTX,MarketAxess Holdings Inc.,2014-01-29T00:00:00.000Z,TNS,0.42,0.41,-2.15,EDT,0,EQUITY,2014-01-29
MKTX,MarketAxess Holdings Inc.,2014-04-23T00:00:00.000Z,TNS,0.45,0.46,1.17,EDT,0,EQUITY,2014-04-23
